Name, Area, Zone, Level, Cost, Type, Description,
Acana, Gondor, Mountains, ABSURD, 600gp, paste, RR stam Absurd.  if liquid kills instantly.  in paste sents person into coma for 2-12 days; antidote: ironvine,
Acana, Rohan, Mountains, ABSURD, 600gp, paste, RR stam Absurd.  if liquid kills instantly.  in paste sents person into coma for 2-12 days; antidote: ironvine,
Akbutege, Eriador, Swamp, VHARD, 25bp, ingest, recovers 1d10 hits during one hour. eating more than one couses -30 act gases,
Akbutege, Rohan, Swamp, VHARD, 25bp, ingest, recovers 1d10 hits during one hour. eating more than one couses -30 act gases,
Akbutege, Gondor, Swamp, VHARD, 25bp, ingest, recovers 1d10 hits during one hour. eating more than one couses -30 act gases,
Akbutege, Anduin Vale, Swamp, VHARD, 25bp, ingest, recovers 1d10 hits during one hour. eating more than one couses -30 act gases,
Alambas, Eriador, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Alambas, Rohan, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Alambas, Gondor, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Alambas, Rohvannion, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Alambas, Rhun, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Alambas, Anduin Vale, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Alambas, Harad, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Alambas, Khand, Plains, NORMAL, 10bp, boiled, heals 2-20 hits of burns.  1 every 12h,
Aldaka, Eriador, Mountains, SHEERF, 100gp, boiled, restores sight to burned eyes,
Aldaka, Rohan, Mountains, SHEERF, 100gp, boiled, restores sight to burned eyes,
Aldaka, Gondor, Mountains, SHEERF, 100gp, boiled, restores sight to burned eyes,
Aldaka, Anduin Vale, Mountains, SHEERF, 100gp, boiled, restores sight to burned eyes,
Aldaka, Khand, Mountains, SHEERF, 100gp, boiled, restores sight to burned eyes,
Aloe, Eriador, Coniferous Forest, NORMAL, 5bp, paste, 1-8hits burn. burnes heal at 1/2 rate if used every 6h during all the process, ,Aloe, Rohan, Coniferous Forest, NORMAL, 5bp, paste, 1-8hits burn. burnes heal at 1/2 rate if used every 6h during all the process,
Aloe, Gondor, Coniferous Forest, NORMAL, 5bp, paste, 1-8hits burn. burnes heal at 1/2 rate if used every 6h during all the process,
Aloe, Rhun, Coniferous Forest, NORMAL, 5bp, paste, 1-8hits burn. burnes heal at 1/2 rate if used every 6h during all the process,
Aloe, Forochel, Coniferous Forest, NORMAL, 5bp, paste, 1-8hits burn. burnes heal at 1/2 rate if used every 6h during all the process,
Ancalthur, Eriador, River shores, EHARD, 15gp, paste, RR stamExtremely Hard reduces activity by RR failure.  lasts 2-4h,
Ancalthur, Rohan, River shores, EHARD, 15gp, paste, RR stamExtremely Hard reduces activity by RR failure.  lasts 2-4h,
Ancalthur, Gondor, River shores, EHARD, 15gp, paste, RR stamExtremely Hard reduces activity by RR failure.  lasts 2-4h,
Ancalthur, Rohvannion, River shores, EHARD, 15gp, paste, RR stamExtremely Hard reduces activity by RR failure.  lasts 2-4h,
Ancalthur, Rhun, River shores, EHARD, 15gp, paste, RR stamExtremely Hard reduces activity by RR failure.  lasts 2-4h,
Ancalthur, Anduin Vale, River shores, EHARD, 15gp, paste, RR stamExtremely Hard reduces activity by RR failure.  lasts 2-4h,
Ancalthur, Harad, River shores, EHARD, 15gp, paste, RR stamExtremely Hard reduces activity by RR failure.  lasts 2-4h,
Arfandas, Eriador, River shores, VHARD, 2sp, paste, Bone repair 1/2 speed if used every 12h during healing process,
Arfandas, Rohan, River shores, VHARD, 2sp, paste, Bone repair 1/2 speed if used every 12h during healing process,
Arfandas, Gondor, River shores, VHARD, 2sp, paste, Bone repair 1/2 speed if used every 12h during healing process,
Arfandas, Rohvannion, River shores, VHARD, 2sp, paste, Bone repair 1/2 speed if used every 12h during healing process,
Arfandas, Rhun, River shores, VHARD, 2sp, paste, Bone repair 1/2 speed if used every 12h during healing process,
Arfandas, Anduin Vale, River shores, VHARD, 2sp, paste, Bone repair 1/2 speed if used every 12h during healing process,
Arfandas, Harad, River shores, VHARD, 2sp, paste, Bone repair 1/2 speed if used every 12h during healing process,
Arkasu, Eriador, Decidious Forest, VHARD, 25bp, paste, 1d10+2 hits you can take as many as your Co total/2 per week.,
Arkasu, Rohan, Decidious Forest, VHARD, 25bp, paste, 1d10+2 hits you can take as many as your Co total/2 per week.,
Arkasu, Gondor, Decidious Forest, VHARD, 25bp, paste, 1d10+2 hits you can take as many as your Co total/2 per week.,
Arkasu, Anduin Vale, Decidious Forest, VHARD, 25bp, paste, 1d10+2 hits you can take as many as your Co total/2 per week.,
Arkasu, Forochel, Decidious Forest, VHARD, 25bp, paste, 1d10+2 hits you can take as many as your Co total/2 per week.,
Arlan, Eriador, Mountains, FACIL, 3sp, paste, 1d6+3 hits 1 per wound every 4h,
Arlan, Rohan, Mountains, FACIL, 3sp, paste, 1d6+3 hits 1 per wound every 4h,
